price,carat,table,depth,y,z,cut,color,clarity,x
2374,0.74,57.0,61.9,5.81,3.6,2,6,5,5.83
445,0.32,55.0,62.6,4.41,2.75,2,4,6,4.38
1657,0.59,58.0,61.4,5.4,3.31,2,2,5,5.38
4455,1.02,58.0,62.6,6.36,4.0,1,3,6,6.42
13744,2.01,60.0,64.9,7.78,5.06,5,7,5,7.82
854,0.33,55.0,62.6,4.4,2.76,2,3,5,4.42
3087,0.91,57.0,63.0,6.19,3.87,3,5,6,6.1
1433,0.43,57.0,61.2,4.86,2.96,2,4,1,4.81
493,0.23,56.0,61.9,3.96,2.44,2,3,4,3.94
1689,0.52,60.0,60.3,5.21,3.13,3,2,5,5.17
500,0.3,57.0,63.5,4.27,2.7,6,3,6,4.24
749,0.34,57.0,60.7,4.55,2.75,2,1,4,4.51
11400,2.0,52.0,64.2,7.88,5.07,6,6,7,7.91
15797,1.7,57.0,61.3,7.67,4.68,2,4,5,7.6
940,0.33,56.0,60.9,4.51,2.74,2,1,5,4.49
6577,1.01,57.0,60.4,6.49,3.91,3,2,5,6.45
1789,0.59,57.0,62.9,5.33,3.36,2,2,6,5.36
849,0.35,53.0,62.6,4.55,2.84,2,2,3,4.52
2762,0.8,59.0,59.9,6.07,3.62,2,3,7,6.01
5729,1.1,58.0,62.5,6.54,4.1,1,5,5,6.59
6387,1.1,56.0,62.3,6.59,4.12,2,4,5,6.63
492,0.33,57.0,62.4,4.42,2.75,2,1,7,4.39
6816,1.51,56.0,65.5,7.13,4.69,5,5,7,7.18
1050,0.4,58.0,62.6,4.68,2.94,1,3,4,4.72
594,0.33,58.0,62.6,4.34,2.74,1,6,5,4.42
6653,1.32,60.0,60.3,7.09,4.29,1,6,6,7.14
1846,0.54,57.0,61.7,5.24,3.23,2,5,2,5.23
1286,0.43,57.0,61.7,4.86,2.99,2,4,1,4.83
1216,0.42,55.0,62.3,4.81,2.98,2,2,3,4.76
7528,1.0,53.0,62.3,6.39,3.97,3,2,4,6.35
1860,0.52,59.0,62.6,5.13,3.18,3,1,4,5.03
2313,0.71,57.0,61.1,5.75,3.5,2,5,6,5.71
1076,0.41,60.0,62.4,4.71,2.96,1,3,4,4.77
1722,0.51,59.0,63.3,5.12,3.23,3,3,4,5.09
984,0.35,56.0,61.7,4.53,2.8,2,5,1,4.55
384,0.26,54.0,62.0,4.11,2.54,3,2,6,4.08
4155,1.0,61.0,57.3,6.59,3.79,6,3,7,6.64
5143,1.03,58.0,60.3,6.62,3.98,2,4,6,6.57
4214,0.93,59.0,60.6,6.34,3.83,3,1,7,6.3
6644,1.07,57.0,62.5,6.5,4.09,1,4,5,6.58
814,0.32,55.0,61.4,4.47,2.73,2,5,1,4.42
802,0.32,54.0,62.1,4.43,2.74,2,4,2,4.4
16425,2.0,56.0,60.3,8.11,4.88,6,1,7,8.08
2335,0.7,57.0,60.0,5.8,3.46,3,5,5,5.74
847,0.4,58.0,61.2,4.86,2.94,3,3,4,4.74
4791,1.0,59.0,63.0,6.34,4.02,1,5,5,6.43
2905,0.7,59.0,63.3,5.62,3.55,3,4,3,5.59
1755,0.55,59.0,60.4,5.34,3.21,3,1,5,5.29
1388,0.52,54.0,63.7,5.15,3.27,6,2,6,5.12
2832,0.82,57.0,62.5,5.97,3.71,2,5,6,5.91
558,0.31,55.0,61.3,4.34,2.67,2,2,7,4.37
801,0.33,55.0,61.2,4.47,2.73,3,3,3,4.45
16450,2.28,57.0,62.7,8.36,5.26,2,7,5,8.43
2180,0.54,54.0,62.1,5.26,3.26,2,3,3,5.24
10728,1.56,54.0,62.4,7.43,4.65,2,5,6,7.48
3113,0.82,57.0,61.3,6.07,3.7,2,6,4,6.02
752,0.33,55.0,62.2,4.44,2.75,2,5,2,4.4
3328,0.79,54.0,61.3,6.01,3.67,2,1,6,5.96
868,0.35,57.0,61.5,4.58,2.8,2,5,1,4.55
894,0.43,56.0,63.4,4.8,3.05,3,2,6,4.82
7000,1.24,59.0,61.6,6.86,4.24,1,3,6,6.9
1862,0.65,55.0,61.8,5.6,3.45,2,2,6,5.57
2753,0.57,58.0,61.6,5.33,3.29,1,2,4,5.36
17357,2.02,58.0,60.4,8.16,4.94,3,6,6,8.2
1065,0.63,54.0,61.4,5.56,3.41,2,7,7,5.54
3447,0.9,61.0,62.1,6.11,3.78,6,5,6,6.07
4916,1.1,56.0,61.6,6.61,4.09,1,5,6,6.66
3391,0.72,56.0,61.4,5.83,3.56,2,6,5,5.77
5238,1.09,55.0,62.3,6.62,4.11,2,5,6,6.58
4478,1.02,58.0,59.9,6.55,3.94,1,2,7,6.6
612,0.34,55.0,63.7,4.43,2.83,6,2,7,4.46
904,0.41,59.0,63.1,4.7,2.98,3,3,6,4.75
2287,0.7,56.0,62.8,5.67,3.55,2,6,6,5.64
4155,1.06,59.0,61.9,6.52,4.05,1,3,6,6.57
605,0.32,58.0,62.7,4.33,2.72,1,5,5,4.35
824,0.36,56.0,61.7,4.62,2.84,2,6,2,4.59
2987,0.7,59.0,61.3,5.7,3.49,2,4,4,5.68
2473,0.7,61.0,61.5,5.74,3.5,6,2,5,5.64
2593,0.7,60.0,61.6,5.71,3.49,3,3,5,5.63
1356,0.61,55.0,63.4,5.43,3.43,3,6,6,5.39
4788,1.0,56.0,60.3,6.52,3.94,2,5,6,6.54
851,0.36,58.0,61.4,4.56,2.81,1,1,6,4.59
2398,0.72,55.0,61.9,5.78,3.57,2,2,7,5.76
8759,1.21,54.0,62.7,6.83,4.27,2,4,4,6.79
577,0.25,60.0,62.7,3.98,2.51,1,5,2,4.03
6980,1.45,58.0,62.6,7.16,4.52,3,7,5,7.28
2985,0.7,56.0,63.1,5.69,3.57,3,1,5,5.62
982,0.4,56.0,61.1,4.78,2.91,2,3,4,4.75
7661,1.52,57.0,60.2,7.38,4.47,2,6,7,7.47
789,0.31,59.0,62.0,4.34,2.68,1,2,2,4.3
780,0.33,61.0,61.7,4.43,2.74,1,6,2,4.45
14383,1.6,57.0,61.0,7.59,4.62,3,4,5,7.55
5599,1.01,58.0,60.7,6.49,3.92,1,1,6,6.42
2510,0.56,57.0,61.0,5.36,3.26,2,4,3,5.32
2321,0.8,56.0,63.4,5.87,3.73,3,7,4,5.9
1838,0.51,58.0,63.1,5.1,3.2,3,1,4,5.05
468,0.3,62.0,61.5,4.28,2.64,1,2,7,4.31
706,0.35,58.0,61.9,4.54,2.8,1,5,3,4.5
8529,1.01,55.0,66.1,6.1,4.06,5,2,2,6.19
7667,1.05,60.0,59.8,6.61,3.93,3,4,3,6.54
5408,1.2,57.0,62.8,6.74,4.22,3,6,6,6.7
3160,0.9,57.0,62.8,6.2,3.88,3,5,7,6.15
4242,1.01,57.0,62.0,6.38,3.97,2,1,7,6.42
943,0.43,57.0,60.9,4.91,2.98,3,4,4,4.88
1244,0.52,61.0,62.8,5.14,3.22,3,4,6,5.11
3478,0.72,57.0,60.3,5.86,3.52,2,4,4,5.82
6095,1.31,58.0,59.6,7.08,4.24,1,5,5,7.14
2858,0.7,59.0,61.4,5.7,3.51,1,2,5,5.73
13588,1.51,56.0,61.9,7.41,4.57,2,1,6,7.35
5456,1.11,55.0,62.3,6.65,4.16,2,5,6,6.7
1909,0.77,59.0,61.8,5.86,3.61,1,7,6,5.82
15312,2.0,60.0,60.7,8.11,4.91,1,5,7,8.07
11580,1.51,56.0,62.6,7.32,4.57,2,5,4,7.28
435,0.31,56.0,61.7,4.4,2.7,2,2,7,4.35
9148,1.1,56.0,61.7,6.63,4.1,2,4,3,6.67
5599,1.01,54.0,62.1,6.41,4.01,2,2,6,6.5
2034,0.59,59.0,61.7,5.38,3.31,3,3,4,5.35
1698,0.72,57.0,63.3,5.67,3.6,3,5,7,5.7
3345,0.7,54.0,62.3,5.71,3.54,2,2,4,5.67
2863,0.71,61.0,61.0,5.75,3.53,1,1,6,5.82
758,0.32,57.0,61.0,4.46,2.71,2,1,5,4.42
979,0.38,55.2,61.9,4.65,2.87,2,2,4,4.62
625,0.31,58.0,62.1,4.35,2.69,1,4,4,4.31
1939,0.63,57.0,62.8,5.49,3.44,3,1,6,5.46
15475,2.01,62.0,61.5,7.94,4.92,1,6,4,8.07
7404,1.13,60.0,60.0,6.72,4.08,1,4,4,6.87
723,0.33,60.0,61.7,4.45,2.73,1,2,5,4.4
810,0.33,56.0,61.9,4.46,2.75,2,3,3,4.42
2623,0.7,56.0,61.6,5.71,3.51,2,6,6,5.69
6173,1.51,55.0,61.3,7.36,4.53,1,6,7,7.41
3139,0.9,61.0,60.7,6.22,3.76,3,2,7,6.16
1760,0.57,60.0,60.4,5.31,3.22,1,3,5,5.36
10282,1.53,59.0,61.2,7.39,4.53,1,6,4,7.41
789,0.31,55.0,62.1,4.39,2.71,2,4,2,4.34
6353,1.01,60.0,64.6,6.22,4.06,5,4,4,6.34
17218,2.31,58.0,62.9,8.34,5.27,1,6,7,8.43
918,0.32,54.0,62.0,4.45,2.75,2,4,1,4.42
17383,2.01,57.0,60.6,8.09,4.92,2,5,6,8.19
8184,1.11,59.0,60.7,6.65,4.02,3,4,6,6.6
13873,1.61,56.0,61.8,7.52,4.63,2,5,5,7.48
8242,1.51,57.0,62.5,7.32,4.55,6,6,6,7.25
1371,0.59,57.0,60.1,5.49,3.29,2,3,7,5.45
5884,1.2,59.0,61.7,6.88,4.23,3,6,5,6.83
12531,1.75,55.0,61.6,7.77,4.77,2,6,5,7.72
854,0.33,55.0,61.9,4.41,2.74,2,4,4,4.44
4983,1.02,54.6,62.6,6.44,4.02,2,2,7,6.4
7216,1.18,55.0,61.9,6.76,4.2,2,1,6,6.8
758,0.32,60.0,60.3,4.44,2.67,1,1,5,4.42
981,0.43,57.0,62.2,4.84,3.0,2,2,5,4.8
4538,1.09,56.0,62.8,6.45,4.06,1,1,7,6.49
421,0.3,61.0,61.6,4.29,2.63,3,2,7,4.25
1737,0.64,55.0,61.6,5.59,3.43,2,4,6,5.55
6887,1.21,57.0,60.1,6.97,4.16,3,5,5,6.88
6918,1.12,57.0,62.3,6.64,4.12,2,4,4,6.59
648,0.32,59.0,61.7,4.35,2.7,1,5,5,4.4
684,0.31,57.0,61.8,4.33,2.69,2,1,6,4.37
1573,0.57,59.0,60.2,5.38,3.23,2,5,5,5.35
900,0.32,56.0,62.9,4.36,2.75,2,2,5,4.39
755,0.42,54.0,62.1,4.84,2.99,3,5,5,4.81
13034,1.52,58.0,61.4,7.35,4.52,1,4,4,7.38
5192,1.22,59.0,63.1,6.75,4.28,3,5,7,6.81
9650,1.09,56.0,62.3,6.59,4.12,2,1,4,6.63
1882,0.51,56.0,60.9,5.16,3.15,2,1,5,5.19
15785,2.02,57.0,62.7,8.0,5.03,2,5,7,8.05
671,0.31,57.0,61.7,4.39,2.7,2,4,3,4.36
1113,0.43,58.0,61.2,4.84,2.98,1,4,5,4.9
4284,0.9,56.0,61.5,6.2,3.83,2,3,6,6.25
5416,1.04,61.0,62.7,6.44,4.05,1,5,5,6.48
11177,1.76,58.0,62.0,7.7,4.79,1,7,4,7.74
9116,1.25,56.0,60.7,7.01,4.23,3,4,4,6.93
6695,1.22,57.0,63.0,6.74,4.28,1,4,6,6.84
4693,0.9,59.0,62.8,6.18,3.87,3,1,6,6.14
5595,1.17,58.0,61.2,6.86,4.19,3,4,7,6.84
11161,1.71,62.0,58.1,7.84,4.61,1,5,4,8.02
694,0.3,58.0,61.9,4.29,2.65,2,2,4,4.27
6206,1.04,54.0,62.3,6.49,4.06,1,4,5,6.55
8418,1.6,55.0,62.8,7.42,4.68,2,7,6,7.48
961,0.41,58.0,62.6,4.7,2.96,1,4,4,4.75
579,0.33,59.0,61.1,4.47,2.72,3,4,5,4.43
4702,1.14,60.0,60.0,6.81,4.07,3,7,4,6.76
1292,0.37,56.0,62.0,4.59,2.85,2,1,2,4.6
1993,0.54,57.0,61.1,5.22,3.2,2,1,5,5.25
1569,0.51,55.0,61.8,5.18,3.19,2,1,6,5.14
3507,1.03,55.0,61.1,6.51,3.99,2,3,8,6.54
445,0.25,53.0,62.6,4.08,2.54,2,5,4,4.04
5690,1.27,60.0,63.4,6.8,4.33,3,7,4,6.85
8794,1.51,55.0,60.5,7.36,4.46,2,4,7,7.4
5387,1.21,57.0,63.4,6.72,4.28,3,6,5,6.79
2059,0.48,54.0,62.0,5.05,3.11,2,3,1,5.0
1238,0.4,56.0,62.2,4.71,2.95,2,2,3,4.78
882,0.4,58.0,63.3,4.69,2.98,3,3,6,4.72
972,0.32,57.0,61.7,4.36,2.7,2,1,5,4.39
795,0.33,55.0,61.7,4.48,2.75,3,5,1,4.45
5068,1.44,62.0,61.1,7.23,4.39,3,2,8,7.15
1105,0.54,57.0,62.9,5.21,3.27,3,6,7,5.18
499,0.23,56.0,60.8,3.99,2.41,3,2,2,3.94
1173,0.52,56.0,62.7,5.1,3.19,3,2,7,5.07
945,0.3,59.0,61.4,4.31,2.66,1,3,3,4.36
2902,0.73,60.0,62.0,5.73,3.56,1,2,5,5.76
4608,1.05,60.0,63.1,6.49,4.07,6,5,6,6.42
1574,0.51,58.0,63.1,5.09,3.22,3,3,5,5.11
5571,1.13,59.0,62.8,6.58,4.15,1,5,5,6.63
12862,1.5,63.0,61.7,7.24,4.49,3,4,4,7.31
17476,2.01,60.0,60.1,8.2,4.94,3,5,6,8.25
3812,0.93,59.0,63.8,6.15,3.94,6,1,6,6.21
4153,1.01,57.0,61.3,6.5,3.97,3,7,6,6.45
12117,1.7,57.0,63.3,7.59,4.79,6,5,5,7.54
2047,0.71,59.0,61.5,5.74,3.52,2,7,5,5.71
8721,1.12,59.0,62.6,6.58,4.13,1,4,3,6.61
8842,1.29,58.0,58.7,7.11,4.22,1,4,5,7.27
1921,0.63,60.0,62.9,5.33,3.39,1,5,4,5.45
7577,1.23,58.0,61.1,6.86,4.21,1,5,4,6.91
1140,0.32,56.0,61.9,4.36,2.71,2,1,2,4.39
1061,0.41,58.0,62.9,4.71,2.97,1,6,3,4.74
1268,0.53,57.0,62.4,5.21,3.24,2,3,6,5.18
11975,2.0,57.0,62.8,8.01,5.04,1,5,7,8.05
1107,0.41,57.0,62.6,4.76,2.99,2,3,5,4.79
4566,1.04,56.0,67.5,6.22,4.22,5,2,7,6.28
3041,0.71,57.0,62.7,5.7,3.56,2,3,4,5.66
755,0.41,56.0,62.9,4.76,2.98,3,2,6,4.72
2370,0.79,57.0,62.8,5.88,3.7,1,5,7,5.91
5562,1.2,60.0,58.9,6.94,4.1,2,4,7,6.98
779,0.37,55.0,61.2,4.68,2.85,3,2,3,4.63
4504,0.76,58.0,59.6,5.96,3.54,3,3,2,5.91
844,0.34,55.0,61.6,4.55,2.78,2,5,1,4.51
4498,1.19,54.0,63.0,6.74,4.27,1,7,6,6.82
3663,1.22,56.0,61.6,6.87,4.21,3,5,8,6.8
2352,0.74,58.0,63.8,5.76,3.66,3,6,6,5.72
4077,1.0,59.0,62.0,6.3,3.95,1,2,7,6.43
1031,0.42,55.0,62.4,4.82,3.0,2,4,3,4.79
15351,2.0,57.0,70.2,7.59,5.34,5,3,7,7.63
1624,0.5,56.0,61.5,5.11,3.13,3,2,5,5.07
7090,1.33,56.0,63.7,6.92,4.42,6,6,4,6.96
622,0.27,55.0,62.0,4.14,2.56,2,2,3,4.12
6526,1.2,57.0,62.8,6.73,4.21,3,4,6,6.68
4437,0.91,59.0,60.4,6.26,3.77,3,3,6,6.22
491,0.3,54.0,62.4,4.32,2.69,2,6,4,4.3
2874,0.7,62.0,60.8,5.67,3.46,1,3,4,5.71
2921,0.71,60.0,60.1,5.79,3.47,3,1,6,5.76
4152,0.9,58.0,61.1,6.25,3.81,1,4,5,6.22
2184,0.7,56.0,59.8,5.73,3.44,1,3,7,5.78
9784,1.05,57.0,62.7,6.41,4.05,2,3,2,6.5
3360,0.7,55.0,61.4,5.75,3.52,2,1,5,5.71
15415,1.54,54.0,62.0,7.43,4.59,2,4,3,7.36
3050,0.62,63.0,58.1,5.66,3.27,3,1,3,5.59
666,0.33,57.0,62.3,4.42,2.74,2,4,4,4.38
6530,1.22,58.0,63.1,6.74,4.27,3,3,6,6.8
4672,1.01,57.0,63.6,6.33,4.04,6,4,6,6.37
3354,0.7,58.0,61.9,5.74,3.53,2,4,2,5.67
579,0.33,59.0,62.2,4.43,2.75,1,2,6,4.41
1746,0.5,58.0,59.8,5.15,3.09,1,4,4,5.19
2613,0.7,58.0,62.8,5.68,3.55,3,4,4,5.62
1084,0.34,56.0,61.6,4.48,2.77,2,4,1,4.51
1569,0.51,58.0,61.6,5.14,3.16,1,1,6,5.12
8681,1.51,59.0,65.0,7.07,4.57,5,4,6,6.99
10314,1.09,56.0,61.6,6.64,4.08,2,2,3,6.6
1667,0.54,60.0,58.2,5.34,3.12,1,3,5,5.39
7339,1.41,57.0,58.5,7.44,4.33,3,5,7,7.36
4276,1.01,60.0,64.1,6.16,3.97,6,3,6,6.21
7743,1.0,55.0,61.1,6.5,3.95,3,4,5,6.44
2869,0.72,55.0,60.8,5.84,3.53,2,2,6,5.77
5364,1.03,58.0,60.9,6.48,3.97,1,5,5,6.55
1020,0.53,54.0,61.9,5.23,3.23,2,5,7,5.21
4604,1.02,55.0,63.3,6.33,4.03,3,5,5,6.4
6132,1.5,58.0,61.5,7.32,4.52,1,5,7,7.38
3209,0.79,57.0,61.1,6.0,3.65,2,1,6,5.94
16407,1.5,63.0,61.2,7.32,4.47,3,1,4,7.28
1819,0.56,56.0,60.9,5.35,3.25,2,2,5,5.32
8151,1.52,57.0,60.9,7.5,4.55,3,4,7,7.44
810,0.33,59.0,61.5,4.46,2.73,1,4,2,4.42
12221,2.0,61.0,63.7,7.97,5.04,3,6,7,7.85
11141,1.23,56.0,61.8,6.84,4.24,2,3,3,6.89
3805,0.9,53.0,62.7,6.22,3.89,2,4,7,6.18
447,0.34,57.0,61.8,4.51,2.77,3,6,6,4.46
769,0.26,56.0,62.5,4.08,2.56,2,1,3,4.11
2451,0.79,62.0,58.5,6.04,3.52,6,6,5,5.99
1944,0.72,59.0,60.2,5.81,3.51,1,7,5,5.85
5221,1.0,59.0,62.3,6.36,3.99,1,3,6,6.44
1042,0.41,59.0,61.4,4.76,2.93,2,4,5,4.78
3425,0.7,60.0,61.2,5.71,3.49,1,1,4,5.69
1400,0.42,56.0,62.0,4.84,2.98,2,2,2,4.78
438,0.25,54.0,62.3,4.11,2.54,2,4,4,4.05
5857,1.33,54.0,62.4,7.07,4.4,2,7,6,7.04
2824,0.82,60.0,60.8,6.03,3.67,1,2,7,6.05
838,0.33,55.0,61.7,4.5,2.77,2,4,2,4.48
8654,1.43,59.0,61.7,7.29,4.48,3,5,6,7.23
743,0.33,59.0,62.2,4.41,2.76,1,6,3,4.47
2400,0.7,56.0,61.2,5.78,3.52,3,3,5,5.72
1268,0.54,56.0,61.1,5.27,3.21,2,5,6,5.25
6982,1.52,61.0,63.1,7.23,4.55,6,7,5,7.19
1272,0.5,58.0,62.2,5.12,3.17,1,1,6,5.08
3977,0.9,59.0,62.0,6.1,3.81,3,3,7,6.2
11820,1.53,57.0,60.3,7.45,4.51,2,3,6,7.52
6048,1.35,54.0,62.3,7.06,4.43,2,7,4,7.17
1013,0.3,60.0,61.4,4.25,2.62,1,2,3,4.28
538,0.36,53.0,62.4,4.59,2.86,2,5,6,4.58
2596,0.7,60.0,60.4,5.74,3.48,1,1,7,5.79
607,0.29,56.0,61.9,4.25,2.62,2,4,3,4.24
10950,1.51,57.0,63.2,7.32,4.58,3,5,5,7.18
684,0.31,53.0,62.5,4.34,2.72,2,1,6,4.37
2648,0.7,58.0,60.5,5.76,3.49,1,3,5,5.78
2131,0.62,62.0,59.9,5.53,3.3,6,3,3,5.51
6877,1.29,57.0,63.0,6.89,4.37,1,6,4,6.99
3671,1.01,59.0,63.0,6.27,3.97,1,5,7,6.33
467,0.41,56.0,63.8,4.74,3.01,6,4,8,4.7
524,0.32,56.0,62.7,4.42,2.76,2,5,4,4.39
4344,1.04,57.0,61.7,6.54,4.02,2,6,6,6.49
4749,1.06,58.0,59.9,6.63,3.98,2,5,7,6.67
2396,0.76,58.0,62.6,5.84,3.63,3,5,6,5.76
2499,0.82,62.0,59.5,6.07,3.63,1,5,7,6.13
6079,1.32,57.0,62.1,7.04,4.36,3,7,5,7.01
7922,1.84,58.0,61.0,7.87,4.81,1,5,7,7.97
1230,0.41,56.0,62.0,4.78,2.97,2,4,2,4.8
6999,1.01,60.0,63.1,6.39,4.02,6,1,5,6.35
2527,0.73,60.0,61.9,5.78,3.59,1,3,6,5.81
2310,0.7,54.0,61.2,5.75,3.53,2,1,6,5.79
1348,0.5,64.0,63.3,5.0,3.16,6,2,5,4.98
18701,3.51,59.0,62.5,9.63,6.03,1,7,5,9.66
2068,0.59,57.0,60.8,5.42,3.28,3,2,5,5.37
11460,1.51,59.0,62.8,7.3,4.57,3,2,6,7.26
708,0.32,54.0,62.1,4.42,2.74,2,4,3,4.4
961,0.34,56.0,62.6,4.49,2.82,2,1,4,4.52
1579,0.62,59.0,61.1,5.46,3.35,1,2,7,5.51
13369,2.21,60.0,62.9,8.23,5.19,1,5,7,8.27
4327,1.01,58.0,60.5,6.48,3.93,2,4,7,6.52
453,0.31,54.0,61.8,4.39,2.71,2,7,3,4.38
1002,0.46,56.0,65.3,4.76,3.13,5,4,5,4.83
530,0.23,57.0,62.5,3.99,2.47,2,2,3,3.92
1712,0.55,56.0,61.7,5.24,3.25,2,6,2,5.29
990,0.32,56.0,62.3,4.35,2.72,2,3,2,4.38
5268,1.5,56.0,62.6,7.11,4.51,1,7,7,7.24
773,0.42,58.0,61.8,4.84,2.98,1,3,6,4.81
8794,1.51,55.0,65.5,7.08,4.66,5,4,7,7.14
2254,0.72,57.0,64.1,5.71,3.64,6,1,7,5.64
4102,1.01,56.0,66.9,6.22,4.14,5,4,6,6.15
2156,0.63,56.0,62.1,5.51,3.43,2,2,5,5.54
6780,1.07,55.0,61.2,6.67,4.07,3,4,4,6.63
2207,0.61,57.0,61.0,5.53,3.36,2,1,5,5.49
11333,1.59,58.0,62.1,7.48,4.63,1,5,5,7.42
807,0.4,56.0,62.9,4.72,2.96,3,4,5,4.69
1295,0.41,56.0,60.7,4.85,2.93,2,3,2,4.81
7553,1.51,59.0,62.8,7.17,4.51,1,7,5,7.2
8742,1.03,57.0,61.5,6.52,4.0,2,1,4,6.48
5744,1.03,58.0,61.2,6.55,4.0,1,5,4,6.52
743,0.33,59.0,60.4,4.43,2.69,1,2,6,4.47
843,0.32,54.0,61.9,4.44,2.74,2,2,3,4.41
637,0.34,55.0,61.0,4.56,2.77,2,2,6,4.54
1148,0.51,56.0,62.1,5.13,3.18,2,4,7,5.1
4580,0.9,58.0,63.1,6.15,3.87,6,2,5,6.11
974,0.41,57.0,61.5,4.81,2.95,3,3,4,4.77
14615,2.11,62.0,58.4,8.39,4.91,1,6,7,8.43
15464,1.11,55.0,61.8,6.69,4.12,2,2,1,6.65
13247,1.7,57.0,61.7,7.62,4.71,2,6,3,7.67
911,0.3,56.0,61.5,4.31,2.67,2,2,4,4.37
886,0.3,56.0,61.8,4.32,2.66,2,3,1,4.29
872,0.32,55.0,62.9,4.4,2.75,3,4,1,4.37
6256,1.33,60.0,61.0,7.05,4.33,1,2,7,7.13
3328,0.73,56.0,62.2,5.78,3.59,2,2,5,5.76
2952,0.7,61.0,61.0,5.72,3.48,6,2,4,5.69
6217,1.06,59.0,59.4,6.63,3.95,3,4,5,6.68
1105,0.52,58.0,62.9,5.04,3.2,1,6,6,5.14
15219,1.01,59.0,63.4,6.26,4.01,3,1,1,6.39
1877,0.51,56.0,60.7,5.21,3.15,2,2,5,5.17
781,0.33,56.0,62.3,4.46,2.77,2,1,5,4.43
787,0.33,58.0,62.9,4.43,2.77,3,5,1,4.38
982,0.4,57.0,61.3,4.77,2.92,2,1,5,4.75
1436,0.5,58.0,60.8,5.13,3.1,3,1,6,5.07
1845,0.5,55.0,62.3,5.07,3.17,2,1,5,5.11
936,0.32,56.0,62.2,4.37,2.72,2,5,2,4.38
758,0.34,54.1,62.1,4.5,2.78,2,2,5,4.47
2242,0.61,54.0,61.6,5.49,3.37,2,4,3,5.45
4710,1.07,62.0,61.0,6.68,4.05,6,1,7,6.6
10197,1.01,60.0,60.5,6.47,3.91,2,3,2,6.45
10239,1.52,55.0,61.4,7.48,4.56,2,5,6,7.38
2142,0.7,59.0,62.8,5.62,3.54,1,5,7,5.65
5038,1.02,58.0,63.3,6.35,4.03,3,3,6,6.39
1181,0.5,60.0,59.4,5.16,3.08,1,2,7,5.21
811,0.37,59.0,61.0,4.63,2.81,1,2,5,4.59
7785,1.26,59.0,59.9,7.14,4.24,3,1,6,7.02
853,0.4,56.0,60.0,4.85,2.9,3,4,4,4.81
15873,2.08,59.0,62.3,8.16,5.1,1,2,7,8.22
1662,0.51,57.0,61.0,5.12,3.15,2,2,5,5.21
9837,1.3,57.0,62.5,6.96,4.34,3,4,4,6.92
749,0.37,61.0,59.5,4.64,2.77,1,5,5,4.67
765,0.34,55.0,63.2,4.46,2.83,3,2,6,4.49
614,0.35,58.0,61.9,4.52,2.79,3,2,6,4.49
610,0.38,56.0,61.7,4.67,2.87,2,6,6,4.64
2340,0.78,56.0,60.8,5.92,3.62,2,2,7,5.98
3997,0.9,63.0,61.1,6.17,3.78,3,1,6,6.21
1033,0.34,57.0,61.2,4.45,2.74,2,2,4,4.51
844,0.34,56.0,61.5,4.5,2.75,2,4,2,4.47
7006,2.23,57.0,63.5,8.2,5.22,3,4,8,8.24
9548,1.6,56.0,62.7,7.39,4.67,2,5,6,7.51
15647,2.12,57.0,61.0,8.31,5.06,2,6,7,8.28
620,0.27,59.0,60.9,4.21,2.55,3,2,2,4.17
5219,1.02,63.0,61.0,6.54,3.97,6,1,6,6.48
