id,carat,table,depth,y,z,cut,color,clarity,x
145,0.32,56.0,61.9,4.43,2.73,2,3,4,4.39
146,0.57,54.8,61.7,5.37,3.3,3,5,5,5.34
147,1.69,58.0,62.7,7.6,4.74,3,2,5,7.52
148,1.11,56.0,62.3,6.64,4.12,2,1,3,6.59
149,0.92,58.0,61.9,6.24,3.85,3,1,4,6.19
150,0.92,55.0,62.2,6.26,3.87,3,3,6,6.19
151,1.01,55.0,60.0,6.56,3.95,2,2,3,6.6
152,0.34,60.1,60.5,4.53,2.73,6,2,6,4.5
153,0.78,59.0,62.6,5.85,3.65,3,5,7,5.81
154,1.01,57.0,61.9,6.35,3.95,3,3,7,6.42
155,1.0,60.0,62.3,6.38,3.96,3,5,6,6.34
156,1.24,59.0,62.6,6.76,4.26,1,3,6,6.86
157,1.66,59.0,62.0,7.6,4.7,1,1,6,7.55
158,0.54,56.0,60.7,5.25,3.2,1,4,2,5.3
159,1.58,57.0,61.0,7.5,4.59,2,2,6,7.55
160,0.7,57.0,62.3,5.7,3.54,2,2,6,5.67
161,1.0,56.0,65.2,6.27,4.07,6,6,6,6.21
162,0.33,54.0,62.4,4.45,2.77,2,7,7,4.43
163,1.0,60.0,59.4,6.56,3.87,3,1,7,6.48
164,0.7,63.0,59.4,5.73,3.42,3,2,6,5.79
165,0.35,56.0,62.0,4.51,2.79,2,2,5,4.49
166,0.38,58.0,61.8,4.66,2.87,1,5,5,4.63
167,1.02,59.0,59.9,6.59,3.94,1,3,7,6.56
168,0.71,62.0,57.8,5.95,3.4,6,4,1,5.82
169,1.76,57.0,60.3,7.83,4.74,2,4,5,7.9
170,1.51,56.0,61.6,7.43,4.56,2,6,4,7.37
171,1.27,58.0,60.3,7.04,4.25,1,3,4,7.06
172,0.71,57.0,62.7,5.64,3.56,1,5,7,5.71
173,1.55,56.0,61.5,7.36,4.54,2,2,6,7.4
174,0.25,59.0,60.7,4.1,2.48,3,3,2,4.07
175,0.42,59.0,62.7,4.72,2.97,1,4,6,4.75
176,0.4,59.0,61.5,4.76,2.91,3,3,4,4.71
177,0.3,55.0,61.8,4.33,2.68,2,2,5,4.32
178,0.57,59.0,62.1,5.29,3.3,1,3,7,5.33
179,1.21,61.0,60.0,6.79,4.1,1,5,7,6.88
180,0.41,58.0,60.3,4.79,2.9,1,3,3,4.83
181,0.71,59.0,62.6,5.7,3.56,3,6,6,5.67
182,0.7,60.0,62.6,5.66,3.52,1,4,4,5.58
183,0.29,57.0,60.9,4.32,2.62,3,2,3,4.29
184,0.81,58.0,61.7,5.95,3.68,1,5,4,5.98
185,0.31,60.0,58.7,4.48,2.62,3,2,6,4.45
186,1.0,55.0,63.9,6.34,4.03,6,2,6,6.28
187,1.2,56.0,62.8,6.74,4.25,1,6,4,6.8
188,1.07,58.0,62.0,6.59,4.08,3,3,4,6.57
189,2.05,60.0,62.5,8.14,5.07,1,7,4,8.09
190,1.36,56.0,61.5,7.16,4.39,2,5,6,7.12
191,0.81,58.0,62.3,5.96,3.71,2,5,6,5.95
192,0.72,61.0,61.8,5.71,3.56,1,3,6,5.82
193,0.33,53.0,62.1,4.51,2.79,2,5,2,4.47
194,1.02,56.0,63.6,6.4,4.06,6,6,7,6.37
195,1.51,59.0,62.9,7.29,4.57,3,7,6,7.25
196,0.9,58.0,64.1,6.09,3.89,6,2,7,6.04
197,1.02,61.0,62.7,6.34,3.99,1,4,5,6.39
198,0.85,54.0,71.2,5.65,4.07,5,5,8,5.77
199,1.04,55.0,61.8,6.56,4.03,2,3,1,6.49
200,0.41,55.0,61.3,4.85,2.96,2,5,6,4.81
201,0.4,59.0,62.5,4.72,2.93,1,1,5,4.66
202,0.38,62.0,59.7,4.66,2.79,1,4,5,4.68
203,1.01,59.0,62.5,6.42,4.0,3,3,5,6.38
204,0.9,60.0,59.8,6.28,3.74,3,4,3,6.23
205,1.34,56.0,62.2,7.0,4.38,1,4,7,7.08
206,0.46,58.0,62.6,4.96,3.09,3,2,5,4.91
207,0.64,58.0,62.2,5.54,3.43,3,1,5,5.49
208,1.22,57.0,60.9,6.89,4.21,1,4,5,6.94
209,0.93,61.0,58.8,6.39,3.75,6,4,6,6.36
210,0.25,56.0,62.5,4.06,2.53,2,5,2,4.03
211,1.04,55.0,62.0,6.51,4.03,2,2,7,6.48
212,0.76,54.0,61.6,5.92,3.63,2,6,6,5.86
213,0.54,57.0,60.0,5.36,3.2,2,4,6,5.31
214,0.41,55.0,62.3,4.79,2.97,2,3,2,4.74
215,1.5,64.0,58.8,7.4,4.36,6,4,5,7.43
216,0.41,56.0,62.3,4.78,2.97,2,2,3,4.75
217,1.13,59.0,60.4,6.7,4.06,1,2,7,6.75
218,1.37,60.0,59.6,7.18,4.3,1,4,7,7.24
219,0.25,58.0,62.9,4.03,2.53,3,2,2,4.01
220,0.55,55.0,61.7,5.26,3.24,2,1,4,5.25
221,0.7,57.0,61.4,5.75,3.52,2,2,6,5.71
222,1.04,56.0,61.2,6.6,4.02,2,3,6,6.54
223,0.43,56.0,61.5,4.86,3.0,1,3,2,4.9
224,0.3,54.0,62.2,4.37,2.71,2,5,1,4.34
225,0.32,60.0,60.7,4.41,2.67,1,5,5,4.39
226,0.75,56.0,60.6,5.9,3.59,1,1,7,5.94
227,1.11,57.0,61.9,6.66,4.11,2,4,6,6.63
228,0.38,61.0,60.1,4.63,2.79,1,4,5,4.66
229,0.29,60.0,58.4,4.32,2.53,1,2,6,4.34
230,1.01,58.0,63.7,6.31,4.03,6,4,7,6.35
231,1.06,62.0,65.3,6.25,4.11,5,4,7,6.33
232,1.27,59.0,61.4,6.98,4.27,1,4,6,6.94
233,0.33,55.0,61.9,4.49,2.77,2,2,5,4.46
234,0.36,57.0,60.9,4.61,2.8,2,3,5,4.58
235,0.8,61.0,62.7,5.84,3.68,1,7,5,5.89
236,0.33,59.0,61.1,4.42,2.71,1,4,6,4.45
237,0.7,56.0,62.6,5.69,3.55,2,3,6,5.66
238,1.24,57.0,63.3,6.79,4.32,3,4,7,6.85
239,0.55,57.0,61.2,5.29,3.23,3,2,2,5.27
240,0.23,58.0,60.5,3.95,2.38,3,2,5,3.92
241,0.7,59.0,62.0,5.71,3.53,2,5,4,5.68
242,2.54,56.0,63.5,8.65,5.5,3,5,7,8.68
243,0.28,57.0,61.1,4.26,2.59,2,3,3,4.22
244,0.52,56.0,63.0,5.11,3.24,1,3,8,5.18
245,0.49,62.0,59.6,5.14,3.07,1,5,5,5.17
246,0.7,56.0,64.9,5.56,3.65,5,5,4,5.68
247,0.32,56.0,62.2,4.36,2.72,2,1,5,4.39
248,1.52,58.0,60.6,7.39,4.5,1,5,4,7.46
249,0.31,59.0,60.6,4.35,2.65,1,1,6,4.39
250,0.52,54.0,61.8,5.18,3.19,3,2,7,5.15
251,0.5,54.0,62.6,5.13,3.2,3,3,5,5.1
252,0.39,57.0,61.9,4.69,2.9,2,3,1,4.68
253,0.37,59.0,59.8,4.7,2.8,3,5,4,4.66
254,0.32,55.0,63.0,4.4,2.78,2,5,4,4.42
255,0.32,55.0,63.7,4.35,2.78,6,1,6,4.38
256,1.51,58.0,62.2,7.35,4.55,1,4,4,7.29
257,0.4,55.0,61.3,4.81,2.92,2,4,6,4.72
258,0.31,58.0,63.4,4.32,2.75,3,1,6,4.35
259,1.55,56.0,61.5,7.4,4.54,2,2,6,7.36
260,0.32,61.0,59.9,4.47,2.67,3,6,6,4.44
261,1.31,59.0,61.4,7.01,4.29,3,5,5,6.96
262,1.5,59.0,63.4,7.25,4.58,6,5,7,7.2
263,1.07,58.0,61.3,6.62,4.05,3,5,5,6.59
264,0.56,56.0,61.7,5.3,3.28,2,4,5,5.34
265,1.52,58.0,59.1,7.45,4.41,1,1,7,7.48
266,1.01,57.0,61.5,6.45,3.97,2,6,8,6.46
267,0.78,54.0,61.7,5.97,3.67,2,4,7,5.93
268,0.3,60.0,61.6,4.33,2.65,1,4,5,4.28
269,0.54,61.0,62.2,5.15,3.23,1,2,6,5.24
270,0.39,54.2,61.7,4.75,2.91,2,4,3,4.69
271,1.21,58.0,61.9,6.79,4.22,1,7,5,6.84
272,0.9,55.0,61.6,6.22,3.82,2,6,6,6.2
273,0.32,57.0,61.3,4.45,2.72,2,2,2,4.42
274,1.52,61.0,61.7,7.3,4.52,1,6,5,7.35
275,0.31,57.0,62.4,4.31,2.7,1,5,6,4.35
276,0.41,55.0,61.5,4.83,2.96,2,2,3,4.79
277,1.0,58.0,65.7,6.2,4.09,5,6,5,6.25
278,0.36,54.0,62.3,4.61,2.86,2,4,7,4.57
279,0.7,60.0,57.7,5.9,3.39,3,5,6,5.85
280,0.39,57.0,61.9,4.69,2.91,2,1,4,4.71
281,1.53,58.0,63.5,7.35,4.65,6,2,6,7.29
282,0.54,55.0,60.3,5.33,3.2,2,5,1,5.29
283,1.51,59.0,62.3,7.31,4.57,1,7,5,7.35
284,0.28,60.0,62.6,4.15,2.59,6,2,6,4.12
285,1.01,59.0,62.7,6.42,3.99,6,3,1,6.3
286,1.21,58.0,62.3,6.85,4.24,3,3,4,6.76
287,0.75,55.0,62.5,5.77,3.62,2,4,7,5.82
288,0.39,55.0,60.0,4.79,2.86,3,3,6,4.76
289,0.53,55.0,61.9,5.19,3.23,2,1,7,5.24
290,0.44,57.0,62.5,4.88,3.04,3,6,5,4.85
291,1.28,62.0,62.5,6.84,4.3,1,5,7,6.89
292,0.5,58.0,63.6,5.05,3.2,6,3,5,5.02
293,1.38,56.0,61.8,7.12,4.41,2,4,2,7.15
294,0.31,55.0,63.1,4.34,2.72,6,3,6,4.28
295,1.21,57.0,62.4,6.83,4.24,2,2,4,6.75
296,0.7,58.0,62.3,5.73,3.56,3,1,6,5.69
297,0.52,55.0,61.9,5.18,3.2,2,4,5,5.15
298,0.43,57.0,62.3,4.82,2.99,2,2,6,4.78
299,0.96,66.0,62.9,6.07,3.91,5,3,8,6.29
300,1.64,61.0,59.3,7.64,4.54,1,5,6,7.68
301,0.56,58.0,60.1,5.35,3.23,1,5,4,5.4
302,0.73,61.0,59.6,5.85,3.51,1,2,6,5.92
303,0.9,56.0,61.3,6.2,3.81,2,6,5,6.24
304,1.26,59.0,61.2,6.9,4.26,1,6,5,7.03
305,0.6,55.0,61.1,5.48,3.34,2,4,5,5.46
306,0.37,56.0,63.1,4.59,2.89,6,4,4,4.57
307,0.29,58.0,61.7,4.29,2.63,3,2,4,4.23
308,0.42,56.0,61.9,4.82,2.99,2,1,6,4.84
309,1.51,56.0,62.7,7.35,4.59,2,7,4,7.3
310,0.56,58.0,62.6,5.32,3.31,3,4,5,5.22
311,1.0,60.0,60.8,6.41,3.91,1,1,7,6.45
312,2.01,60.0,61.3,8.05,4.95,1,6,6,8.09
313,0.51,56.0,63.9,5.11,3.25,6,2,6,5.07
314,1.01,58.0,61.4,6.44,3.97,2,4,5,6.47
315,1.38,58.0,63.7,7.01,4.48,6,7,7,7.06
316,0.4,57.0,59.1,4.87,2.86,3,1,5,4.81
317,1.56,57.0,61.8,7.39,4.58,2,7,6,7.44
318,1.31,59.0,62.6,6.86,4.33,3,6,6,6.97
319,0.74,55.0,61.6,5.83,3.58,2,5,4,5.79
320,0.51,57.0,61.5,5.14,3.15,2,1,5,5.11
321,0.84,60.0,62.4,5.98,3.75,1,2,5,6.04
322,0.41,59.0,61.6,4.74,2.93,1,3,5,4.77
323,0.31,56.4,61.3,4.39,2.69,2,4,4,4.36
324,0.32,57.0,60.8,4.44,2.69,2,1,6,4.41
325,1.21,59.0,64.6,6.64,4.32,5,7,7,6.74
326,0.31,56.0,61.5,4.41,2.7,2,1,5,4.37
327,0.36,57.0,62.7,4.54,2.86,2,1,6,4.59
328,0.7,62.0,58.5,5.82,3.4,6,4,2,5.8
329,0.71,57.0,60.4,5.82,3.5,2,1,5,5.77
330,2.02,56.0,62.4,8.11,5.05,2,6,6,8.07
331,0.7,54.0,61.4,5.75,3.52,2,1,6,5.71
332,0.54,56.0,61.4,5.29,3.24,2,3,3,5.27
333,0.3,56.0,63.0,4.24,2.68,2,5,2,4.27
334,1.24,60.0,59.3,7.01,4.16,1,1,6,7.05
335,0.9,60.0,61.3,6.17,3.77,3,4,6,6.14
336,1.16,56.0,61.9,6.77,4.18,2,4,7,6.73
337,0.3,62.0,60.5,4.37,2.63,3,6,6,4.33
338,0.31,56.0,61.6,4.37,2.7,2,2,5,4.4
339,1.51,57.0,61.9,7.36,4.54,3,5,5,7.32
340,0.33,56.0,61.5,4.48,2.74,2,4,4,4.45
341,0.3,60.0,61.9,4.29,2.65,1,5,7,4.27
342,0.33,55.0,61.7,4.49,2.76,2,6,1,4.45
343,0.53,58.0,59.4,5.28,3.15,1,3,4,5.32
344,0.41,58.0,62.9,4.75,2.97,3,1,6,4.7
345,0.73,56.0,61.5,5.82,3.57,2,2,5,5.79
346,0.54,55.0,61.4,5.3,3.23,2,4,3,5.22
347,1.01,58.0,63.6,6.37,4.03,6,4,7,6.31
348,1.05,56.0,62.3,6.51,4.04,3,4,4,6.45
349,0.71,54.0,62.0,5.77,3.56,2,6,5,5.73
350,0.32,55.0,61.8,4.42,2.74,2,2,6,4.45
351,0.53,56.0,62.3,5.17,3.21,2,1,5,5.14
352,1.0,60.0,58.2,6.54,3.8,6,2,5,6.52
353,0.44,57.0,59.9,4.97,2.96,2,2,2,4.93
354,0.3,56.0,62.6,4.29,2.68,3,3,2,4.27
355,1.53,54.0,60.6,7.47,4.53,2,4,4,7.49
356,1.06,56.5,61.1,6.6,4.03,2,3,5,6.57
357,0.42,56.0,61.5,4.86,2.98,2,6,4,4.83
358,0.31,58.0,61.0,4.38,2.66,1,5,1,4.34
359,2.03,62.0,60.5,8.17,4.96,1,6,5,8.22
360,0.77,59.0,63.0,5.84,3.67,3,4,6,5.82
361,1.32,56.0,62.8,7.0,4.38,3,5,6,6.94
362,0.67,60.0,63.2,5.5,3.49,3,3,5,5.55
363,0.93,61.0,63.3,6.14,3.9,3,7,5,6.19
364,2.01,54.0,62.4,7.96,5.0,2,6,6,8.04
365,0.31,55.0,63.9,4.3,2.74,6,6,4,4.28
366,1.02,59.0,62.3,6.42,3.99,1,1,6,6.38
367,0.51,55.0,62.7,5.09,3.2,2,1,5,5.12
368,0.71,56.0,61.0,5.81,3.53,2,1,5,5.76
369,1.06,55.0,62.4,6.54,4.07,3,2,1,6.5
370,1.12,55.0,62.0,6.66,4.12,2,1,5,6.63
371,0.59,59.0,60.6,5.49,3.31,3,1,3,5.44
372,0.33,59.0,62.5,4.4,2.77,1,3,3,4.47
373,0.52,55.0,62.2,5.18,3.21,2,3,1,5.14
374,1.07,56.0,62.3,6.61,4.09,2,2,3,6.51
375,1.24,63.0,60.2,6.99,4.2,6,4,4,6.96
376,0.7,57.0,60.2,5.82,3.49,3,2,5,5.77
377,0.55,55.0,60.9,5.31,3.22,2,4,4,5.27
378,0.91,59.0,61.0,6.27,3.84,1,5,5,6.32
379,1.21,56.0,62.8,6.83,4.28,3,5,6,6.8
380,0.5,55.0,65.0,4.96,3.24,5,3,4,5.01
381,0.61,55.0,61.8,5.47,3.37,2,3,3,5.43
382,0.41,55.0,60.7,4.86,2.94,2,1,6,4.83
383,0.53,57.0,61.0,5.25,3.19,3,6,4,5.22
384,1.03,56.0,59.7,6.56,3.94,1,2,3,6.64
385,0.55,57.0,61.4,5.29,3.24,2,1,4,5.26
386,1.06,66.0,61.0,6.35,3.93,5,7,7,6.54
387,1.51,59.0,62.7,7.32,4.55,3,2,5,7.2
388,0.32,56.0,61.5,4.44,2.72,2,1,5,4.41
389,0.27,57.0,60.5,4.25,2.55,2,2,3,4.18
390,0.57,55.0,62.2,5.31,3.32,1,2,6,5.36
391,0.93,59.0,60.8,6.28,3.84,1,4,7,6.35
392,0.51,56.0,63.9,5.1,3.25,6,4,5,5.07
393,0.33,57.0,61.0,4.46,2.71,2,2,5,4.43
394,1.51,57.0,60.6,7.48,4.5,2,4,4,7.38
395,1.53,60.0,61.4,7.43,4.54,3,5,7,7.36
396,0.3,57.0,60.8,4.33,2.64,2,2,4,4.36
397,1.0,56.0,62.9,6.38,4.0,2,2,6,6.33
398,0.74,53.9,62.1,5.81,3.6,2,6,1,5.79
399,0.5,59.0,62.2,5.04,3.15,1,4,4,5.09
400,0.71,57.0,59.5,5.83,3.48,2,2,5,5.86
401,0.41,54.0,61.7,4.81,2.96,2,3,5,4.79
402,1.57,61.0,60.5,7.51,4.57,1,5,4,7.6
403,1.01,58.0,63.6,6.28,4.02,6,3,6,6.36
404,0.9,62.0,59.1,6.28,3.7,3,2,5,6.24
405,0.43,62.0,58.3,4.91,2.88,1,3,7,4.97
406,0.32,55.0,62.6,4.38,2.75,2,2,1,4.41
407,1.01,57.0,61.5,6.46,3.96,2,4,7,6.42
408,1.53,60.0,60.7,7.41,4.51,1,1,7,7.45
409,0.53,58.0,62.0,5.2,3.21,2,2,3,5.16
410,2.0,57.0,65.1,7.78,5.09,5,4,7,7.84
411,1.2,59.0,62.9,6.75,4.23,3,1,7,6.7
412,0.61,55.7,61.4,5.53,3.37,2,4,5,5.43
413,0.31,58.0,61.0,4.37,2.67,1,2,5,4.39
414,1.01,61.0,59.9,6.53,3.9,2,6,5,6.49
415,0.42,56.0,63.4,4.78,3.02,6,3,6,4.75
416,1.06,57.0,61.0,6.61,4.02,2,4,7,6.56
417,0.76,56.0,61.5,5.89,3.63,2,2,5,5.92
418,0.51,57.0,60.1,5.22,3.12,2,5,3,5.19
419,1.0,60.0,61.6,6.38,3.92,6,4,3,6.34
420,0.9,57.0,62.4,6.15,3.86,2,3,7,6.23
421,0.7,55.0,63.4,5.64,3.56,3,5,7,5.59
422,1.01,57.0,62.2,6.35,3.97,2,2,6,6.41
423,0.72,62.0,60.6,5.77,3.51,1,4,6,5.81
424,1.57,55.0,61.9,7.47,4.64,2,4,4,7.53
425,0.7,61.0,58.7,5.81,3.4,6,3,6,5.77
426,1.18,55.0,62.6,6.73,4.24,2,6,4,6.79
427,0.9,58.0,62.2,6.18,3.83,3,6,4,6.13
428,0.4,55.0,62.0,4.78,2.95,2,4,2,4.74
429,0.73,56.0,62.4,5.77,3.59,2,1,7,5.74
430,1.15,61.0,61.8,6.69,4.11,3,1,7,6.62
431,0.5,57.0,61.0,5.12,3.13,2,1,7,5.15
432,0.71,57.0,60.8,5.81,3.52,2,5,6,5.77
433,1.0,60.0,62.1,6.42,3.96,3,3,4,6.33
434,1.6,59.0,61.3,7.49,4.6,1,7,4,7.52
